image_id,transcriptions,original_labels,irish_labels,chinese_labels
1680,"""குழம்புல உப்பே இல்ல, நீயெல்லாம் ஒரு பொம்பளையா, மூஞ்சப்பாரும்"" *Home ""மங்கையராய் பிறப்பதற்கே, மாதவம் செய்திடல் வேண்டுமம்மா"" *social media",not-misogyny,not-misogyny,not-misogyny
1439,பேருந்து ஓட்டுநர் பணியிலிருந்து நீக்கப்பட்ட கோவை ஷர்மிளா.. தற்போது போர் விமான ✈️ ஓட்டுனராக சேர்ந்துள்ளார் ❤️ Blazzy Rajesh,misogyny,not-misogyny,misogyny
1465,Chats Priya online Hi di eanna panra 10:30 PM Padichudu iruken da ne eanna panra 10:3 PM Nan adichuttu iruken 10:32 PM sorry padichuttu iruken 10:32 PM ok da sekaram adichuttu pooi thunku 10:32 PM sorry padichuttu pooi thungu 10:32 PM,misogyny,not-misogyny,not-misogyny
1604,Unga ponna ungala vida nala pathupen sir WasIMeMes Samanthaa dead Samantha daddy Vijay,not-misogyny,not-misogyny,not-misogyny
187,"Muthu Kutti 9m ""உங்க வாழ்க்கையை அழகாக அமைக்க பல கஷ்டங்களை பார்த்தவரு டா உங்க அப்பா❤️✨"" #muthumc *அம்மா VERA LEVEL MEMES (logo text) VERA LEVEL MEMES",not-misogyny,not-misogyny,not-misogyny
983,"#Amma : Epo da vetuku varuva? 8 manika varen ma,. Time 8.01 ~ Mom...",not-misogyny,not-misogyny,not-misogyny
1185,முடியும் வரை முயற்சி செய் ஆட்டோ பின்னால்தான் எழுதினீங்க.. இப்போ ஆண்டி பின்னாலயும் எழுத ஆரம்பிச்சிட்டாங்க..,misogyny,misogyny,not-misogyny
49,*** 8Yrs Old me ** Me playing with pakkathu veetu Nibbi !! Me - நமக்கு இன்னிக்கு கல்யாணம் !! டும் டும் டும் ... கல்யாணம் முடிஞ்சுது இனி பர்ஸ்ட் நைட் !! #டாடி - தம்பி ... தம்பி,not-misogyny,not-misogyny,not-misogyny
1149,மாமியார் மருமகள் உனக்கு டீ போட தெரியுமா டீ போட தெரியுமாவா.. குக்கர்ல பால ஊத்தி மூணு விசில் விட்டு அப்படியே பொங்கவிடுவோம்,misogyny,misogyny,not-misogyny
928,"Artist aganum nu movie la nadikanum nu asa irukku but athukana chance dha kidaika mattuthu Feature film, pilot film, short film idhula nalla chance tharanga, produce um panranga @kish_jk va Contact pannuga",not-misogyny,not-misogyny,not-misogyny
224,Muthu Kutti 1m *No body* Food bloggers with மாலா டம் டம் மஞ்சுரா டம் டம் song Parota kum மாலா டம் டம் song kum enna da samantham #muthumc f MUTHU MC VERA LEVEL MEMES Vera level Memes,not-misogyny,not-misogyny,not-misogyny
780,Praba De Villiers @Prabaofficial98 Veeran.. Naalaiyum leave eduka thayaar aanan! 🏃‍♂️ MOKKA POSTU,not-misogyny,not-misogyny,not-misogyny
247,Muthu Kutti 2m ஜோசியர்: உங்க பையனுக்கு பெண்களால் சிக்கல் மற்றும் ஆபத்து ஏற்படலாம்... Single me : அண்ணா ஏதேதோ சொல்றியோனா #muthumc mt,not-misogyny,not-misogyny,not-misogyny
92,For the next two days Kozhukatta Sundal TN-59-A-2853 mt Sundal Kozhukatta VERA LEVEL MEMES TAMIL MEMES,not-misogyny,not-misogyny,not-misogyny
1361,Bestie: Enadi Leggings Ivlo TighTuh Poturuka Fingeringa Senjividalamnu Kaivecha Enkai Matikichudi Ahhh Softuh Irukudi Cloth 🤤 Kuthuvilaku : Shhh Poruki Unamood Ethalamnu Potuvandha Viralveche Otaaya Akiruvapola Leggings uh Pavi Sikram Watchman Varadhukula Avuthu Marathadilaye Vechu Rendu Shot Adida 🐒,misogyny,misogyny,misogyny
559,PathuThala opened to positive reviews Continuous Blockbuster for Str ❤️🔥 tnb,not-misogyny,not-misogyny,not-misogyny
1060,~ மாமியார் : சமைக்க தெரியுமா? ~ புதுமருமகள்: தெரியுமா வா.. அடுப்ப பத்தவச்ச சுடுதண்ணிய காயவச்ச .. மேகி பக்கெட் கொட்டி...அப்படியே கரண்டிய வச்ச அலசவும் 😂,misogyny,misogyny,misogyny
519,Stokes neenga ennaga ipd adringa Pa _vishal_sammy_,not-misogyny,not-misogyny,not-misogyny
741,Rohini theatre after screening Leo trailer 😬 MOKKA POSTU @dpak_97 💬 Matured fans Intha mari pandrapo dhn verupu aguthu,not-misogyny,not-misogyny,not-misogyny
1045,"He : சாப்பிடியா.!! She : இல்ல, லேட்டாகும்..! He : ஏன்..? She : கல்யாணத்துக்கு அப்ரம் நீ வேல முடிஞ்சி லேட்டாதான வருவ. அதான் இப்ப இருந்தே பழகிக்கலாமன்னூ..!!",misogyny,misogyny,misogyny
1334,Ena da paakra? Paaka nalla ponnu mathiri iruka Pool OOmba teriyathu nu nenachiya @tamil.troll Intha vidhya vaai vacha kanji kudikama po maata @tamil.troll Oru drop vidama kudukurathu than da gethu athunala than enna thevadhai nu solranga,misogyny,misogyny,misogyny
1049,(மைண்ட் வாய்ஸ் : எதுக்கு இவ அழுக்கு தண்ணிய டைனிங் டேபிள் மேல வச்சிருக்கா ..ம் புரியல்லையே) மனைவி : என்னங்க ரசம் சாப்பிட்டிங்களா ? நல்லா இருக்கா ?,misogyny,misogyny,misogyny
287,Enaku irukka ella prechanaikkum dhooo Idhanala dhan My phone VERA LEVEL MEMES,not-misogyny,not-misogyny,not-misogyny
710,mt Today Happy valentine's day 12:53 am Love you 12:53 am 12:54 am mt _dharshan._ But as a friend 12:54 am Message Get it on Google Play TAMIL MEMES,not-misogyny,not-misogyny,not-misogyny
570,"Dharshan Just now Beef>>> chicken, paneer _dharshan._ VERA LEVEL MEMES",not-misogyny,not-misogyny,not-misogyny
1117,After Breakup: Ex:உன் வாழ்க்கைல இன்னொரு அம்மாவா நான் வரலாமா? He:இருக்குற அம்மா போதும்.. நீ கெளம்பு..,misogyny,misogyny,misogyny
446,Mc Muriel Just now Me to me - unna yaara sperm race la win panna sonnathu #Mc_muriel,not-misogyny,not-misogyny,not-misogyny
1046,Mobile Wallpaper* Wp dp* Insta post* Aadhar Card pic*,misogyny,misogyny,misogyny
1119,JDMEMES OFFICIAL TAMIL MEMES Get it on Google Play Bata,misogyny,misogyny,misogyny
152,Dharshan Just now 👥 Life was in stuck I need to be productive ~Few minutes later opens private tab in browser #darshanmc Adar***mmalee.. REDPIX,not-misogyny,not-misogyny,not-misogyny
5,_vishal_sammy_ Grown me still saying same Child me saying one day i grow up and celebrate valentines day,not-misogyny,not-misogyny,not-misogyny
126,"Muthu Kutti 9m ""உங்க வாழ்க்கையை அழகாக அமைக்க பல கஷ்டங்களை பார்த்தவரு டா உங்க அப்பா❤️✨"" #muthumc *அம்மா GOLDMINES VERA LEVEL MEMES (logo text) GOLDMINES",not-misogyny,not-misogyny,not-misogyny
1158,Lovie online Today Hi di pondatti Hi da purusha Forwarded 12:03 PM Hari C He mt Tamil Memes Google Play,misogyny,not-misogyny,not-misogyny
647,LEGEND movie streaming now in HOTSTAR Innum ennada paakureenga.. Sattu puttunu ellam HOTSTAR pakkam vaangada,not-misogyny,not-misogyny,not-misogyny
1142,~மாமியார் : சமைக்க தெரியுமா? ~புதுமருமகள்: தெரியுமாவா.. அடுப்ப பத்தவச்சா சுடுதண்ணிய காயவச்ச.. மேகி பக்கெட்ல கொட்டி...அப்படியே கரண்டிய வச்ச அலசவம்😂,not-misogyny,not-misogyny,not-misogyny
1271,Love Marriage BP Maathra latha memes சினிமாவ பாத்து காதலிக்காதிங்கடா.... பொண்டாட்டியா வர நமக்கு நல்லா சமைச்சி போடுவானு கற்பனைய அதிகமா வளர்த்து நம்பிடாதீங்கடா... Arrange Marriage BP Maathra வீட்ல பாத்து வைக்குற பொண்ணுங்க கூட ஒரு நேரம் இல்லன்னா ஒரு நேரம் நம்மள மனுசனா மதிச்சி சமைச்சி போடுறாளுங்க....காதலிச்சி கல்யாணம் பண்ணா எல்லா நேரமும் நம்மளையே கூடைக்க விட்டுருவாளுங்கடா... Helo,misogyny,not-misogyny,misogyny
939,Adhu Ennamo Theriyala Daily 1.5 GB Net gaali Aana apparam dhaan Life la next enna panna porom nu Thonuthu 😩💔💯 VR2.0 VAAIPILLA_RAJA_2.0,not-misogyny,not-misogyny,not-misogyny
1331,IPO EDHUKU ENNODA LEGIN'S KALATRA ULLA JETTI PODALA DA MajaStarMemes @tamil.troll_ ME: ROMBA VASADHIYA POCHU INSTASEXYACTRESSVERIYAN3.0,misogyny,misogyny,misogyny
984,When maths teacher take over class after lunch bell ring @Ketta_payyan_sir_memes @KETTAPAYYAN_SIR_MEMES ~we ஏல கணக்கு வாத்தியாரே வயறு பசிக்குது ல,not-misogyny,not-misogyny,not-misogyny
727,Polimer NEWS தமிழகத்தில் அமலுக்கு வருகிறது இரவு நேர ஊரடங்கு Polimer NEWS ஞாயிற்றுக்கிழமைகளில் முழு ஊரடங்கு: தமிழக அரசு அறிவிப்பு Polimer NEWS ஒன்றாம் வகுப்பு முதல் 9ஆம் வகுப்பு வரை நேரடி வகுப்புகளுக்கு தடை Kovama Kuttyma Repeat-u,not-misogyny,not-misogyny,not-misogyny
1676,அனைத்து மகளிரும் சாதாரண கட்டண நகரப் பேருந்துகளில் மே 8 முதல் கட்டணமில்லாமல் பயணிக்கலாம் - முதல்வர் மு.க.ஸ்டாலின் *பெண்கள் நன்றி முதல்வரே.. இன்னும் சிறப்பாக செயல்பட வாழ்த்துக்கள்..,not-misogyny,not-misogyny,misogyny
769,@iam_sjstephen MOKKA POSTU Ithu enna periya bad word uh.. Hostel la naanga pesuvom paaru vaartha..,not-misogyny,not-misogyny,not-misogyny
391,Muthu Kutti 1m Good news~ veetu vadagai unga bank account la potu vite Bad news enna theriuma naanga next month veedu gaali panna porom #muthumc GOLDMINES *me *HOUSE OWNER,not-misogyny,not-misogyny,not-misogyny
1359,Anni enaku mood aah iruku sari su** kaatu kai adichu vidurean aio anni na ungala okk@ nu 🙈🙈🙈 en purusan vandhuruvan anna varathukulla mudinchutum anni sari quick aah panu daa.. follow @divya.sri.98 @divya.sri.98 ... @divya.sii.98 @divya.sri.98 ... @divya.sii.98 @divya.sri.98 @divya.sri.98 ... @divya.sii.98 @divya.sri.98 ... @divya.sii.98,misogyny,misogyny,misogyny
1684,Happy Women's Day❤️ 2M3 @tamilmemes TAMIL MEMES Google Play Respect Women nu sonna mattum pathathu also Respect Men who Respects Women❤️,not-misogyny,not-misogyny,not-misogyny
1589,* she marrying a toxic guy * Her wtsp status : இப்போ அவன் என்னய அடிச்சிட்டு போறான்.. திரும்பி வந்து கொஞ்சுவான்.. அதுக்கு நான் இங்க இருக்கணும்... ~ After an hour She :,misogyny,misogyny,misogyny
1171,மிகச்சிறந்த குடும்பஸ்தன் என்பது யாதெனில்... கடைசிவரை மனைவியை அடிக்காமல் இருப்பது மட்டுமல்ல... மனைவியிடம் அடிவாங்காமல் இருப்பதும் தான்..😍😍🤩🤩😊😊,misogyny,misogyny,misogyny
1280,"ohhh appo night ne enga room kulla vanthathu enna ammanama paathu anubavikka illaya married akka Un mama poola paathu oomba vanthiya, inumada antha pool oombura buthi pola unaku",misogyny,misogyny,misogyny
1004,எரிச்சாலும் திரும்ப திரும்ப எழுந்து வர phoenix bird எங்க முட்டை போட்டதுக்கே குண்டி வலிக்குதுனு புலம்புற நீ எங்க SILUKKU DOT COM,not-misogyny,not-misogyny,not-misogyny
848,தீபாவளி அன்று Vijay MC *Area dogs ~டேய் எல்லை மீறி போறீங்கடா...,not-misogyny,not-misogyny,not-misogyny
505,Muthu Kutti Just now Seri neram aachu phone ah vachutu padukalam *Kosu continuously biting me* My phone : #muthumc mt Tamil Memes VERA LEVEL MEMES,not-misogyny,not-misogyny,not-misogyny
1106,"ஏங்க காக்கா கத்துது, இன்னைக்கு உங்க சொந்தகாரங்க வருவாங்கபோல? f/alwzsmle -யாறே அடியேய் வெளிய வந்துபாரு உன் தங்கச்சி வந்திருக்கா, அவதான் அக்கா அக்கான்னு கத்துனது உனக்கு காக்கா கத்துன மாதிரி கேட்டிருக்கு... 😜",misogyny,misogyny,misogyny
842,BOSS *Varun Enna Enna soltranga paarunga...,not-misogyny,not-misogyny,not-misogyny
1727,மனைவி:- உங்களுக்கு ராணின்னு ஏற்கனவே ஒரு மனைவி இருக்கான்னு கல்யாணத்துக்கு முன்பே ஏன் என்கிட்டே சொல்லலை.. கணவன்:- சொன்னேனே... மறந்துட்டியா... மனைவி:- எப்போ சொன்னீங்க...நீங்க சொல்லவே இல்லை... f / alwzsmle www.alwzsmle.com கணவன்:- உன்னை ராணி மாதிரி வச்சு காப்பாத்துவேன்னு நான் சொல்லலை...,not-misogyny,not-misogyny,not-misogyny
1401,When thambi touches akka pussy *Akka Akka : Pesitu irukumbothu keela yenda kai vaikra sshhaaa room kulla vaa kalatitu katren thechi vidu Lusty Desi,misogyny,misogyny,misogyny
69,Dirty hari - Romantic thriller Harkara - Critically acclaimed Rendum vera genre ana worth to watch 🔥,not-misogyny,not-misogyny,not-misogyny
1702,அனைத்து Fake Id க்களுக்கும் மகளிர் தின நல் வாழ்த்துக்கள்,not-misogyny,not-misogyny,not-misogyny
747,"Gudboy Arun Just now * 8-0 India (vs) Pakistan ODI WorldCup clash * 🇮🇳 : Epdiyavadhu SemiFinal Select aagi vareega.. Enga koda Match aadreega.. Thothutu, Karachi Airport poreega.. Cini Mini Comedy * Pakistan",not-misogyny,not-misogyny,not-misogyny
721,"முகக்கவசம் அணியாத மாணவர் முகம் அப்துல் ரஹீமை நிர்வாணமாக்கி முகத்தில் சிறுநீர் கழித்து போலீசார் விடிய விடிய தாக்கியதாக புகார் சென்னை கொடுங்கையூரில் மெடிக்கலில் பகுதி நேரமாக பணிபுரிந்துவிட்டு சைக்கிளில் வீடு திரும்பிக் கொண்டிருந்த சட்டக்கல்லூரி மாணவர் அப்துல்ரஹீம், மாஸ்க் அணியாததற்காக அபராதம் விதித்த போலீசாருடன் வாக்குவாதம் செய்ததாக காவல் நிலையம் அழைத்து சென்று இந்திரகுமார் என்ற காவலர் பூட்ஸ் காலால் உதைந்தும் இரவு முழுவதும் கொடூரமாக தாக்கியதில் முகத்தில் தையல் போடும் அளவு காயம் ஏற்பட்டதாக புகார் Ramnad Pasanga da #Rina_MC Police ah irunthu enna venalum pannalam nammala evan keka poranu thairiyam ivangaluku",not-misogyny,not-misogyny,not-misogyny
989,Current NINI Scenario @Vijay serial trolls Aishu Korali Viththa katruran Yamanthuratha!!,not-misogyny,not-misogyny,not-misogyny
662,Dharsan Just now Seri ipo nee ride pannu Enaku theriyadhu da Aiyoo epdi valathurukanga VERA LEVEL MEMES _dharshan._,not-misogyny,not-misogyny,not-misogyny
1634,Mama Ponnu Expectations Reality INTHA MEME VECHUKO NANDHU MC Onnu Kolanthaya Iruku..Innonu Kolantha yoda Iruku...!,not-misogyny,not-misogyny,not-misogyny
210,After watching LGM movie Amma Me Semma movie la maa 🌚❤️,not-misogyny,not-misogyny,not-misogyny
639,Enaku adhu venum,not-misogyny,not-misogyny,not-misogyny
127,Ayya apdiye oru 20 years future la kondu poi vitrunga ennala indha pressure ah thaanga mudiyala VERA LEVEL MEMES,not-misogyny,not-misogyny,not-misogyny
1598,kaipulla #girl mt டேய் நான் உன்ன மட்டும் தான்டா லவ் பண்ற #me mt அடேங்கப்பா,not-misogyny,not-misogyny,not-misogyny
1153,All i want is ~ Keel veetu aunty like her House owner like her Pakkathu veetu ponnu like her Instagram @un_gaajuku_oru_alavillayaadaa Maadi veetu akka like her,misogyny,misogyny,misogyny
1648,#her Maamiyar Anga paarungadi en Marumagala evlo adakkama irukanuu Boys vs Girls f Tamil little# princess VENKAT Apada nama performance paathu nambitangaa......,not-misogyny,misogyny,misogyny
1622,"என்னடிம்மா... கோவை நைட்டியால ஆண்களுக்குத் தான் அதிக பாதிப்பா..? சனியன் புடிச்ச கிழவி... அது கோவை நைட்டி இல்ல, கோவிட் 19...!",not-misogyny,misogyny,misogyny
56,Muthu Kutti 1m 👥 *Macha oru 5k GPAY panni vidu da plz* ~Bank balance ₹284 Me : paarthela en bank balance ah.. vaikooosama enta poi 5k kekura #muthumc,not-misogyny,not-misogyny,not-misogyny
517,People who continuously sends reels ~ 😂 😆 🤣 *Me VEERA LEVEL MEMES AFRIN இந்தா யா புடி,not-misogyny,not-misogyny,not-misogyny
1656,அனைத்து மகளரும் சாதாரண கட்டண நகரப் பேருந்துகளில் மே 8 முதல் கட்டணமில்லாமல் பயணிக்கலாம் ஆண்டி.... 12பி பஸ் எத்தனை மணிக்கு வரும்.... எடுடா கைய... நானும் ஆம்பள தான்.,not-misogyny,misogyny,misogyny
1002,Unga Boyfriend / Girlfriend / partner ah Entha Lovers Day Ku epdi impress pantrathu nu therilaya. Appo Entha Video Ungalukkutha! mt Parithalanga TAMIL MEMES #NEENGA #NAANU Full Video Link in My BIO,not-misogyny,not-misogyny,not-misogyny
689,Edhavadhu oru issue na ticket rise panalam ticketing tool hey issue na enna panrathu @_vishal_sammy_,not-misogyny,not-misogyny,not-misogyny
1052,பொதுமக்களிடம் இருக்க வேண்டிய விழிப்புணர்வு தரமற்ற உணவுகள் குறித்த புகார்களுக்கு 9444042322 வந்து என் பொண்டாட்டியை மொதல்ல கூட்டிட்டு போங்க சார்.! என்னத்த சமைக்கிறான்னே தெரியல!,misogyny,misogyny,misogyny
1624,"கிச்சன்லே போய் பாத்திரத்தை கழுவுங்கன்னு உள்ள அனுப்பி வச்சா... கைய வெச்சிக்கிட்டு சும்மா இல்லாம உப்பு... மிளகாய்த்தூள், புளி இதையெல்லாம் கழுவி வச்சி இருக்க நீ...",not-misogyny,misogyny,not-misogyny
642,Muthu Kutti 1m March month full ah WFH vangi tharen nu thane sona #muthumc VERA LEVEL MEMES GOLDMINES *TL *me GOLDMINES,not-misogyny,not-misogyny,not-misogyny
1264,நா ஆம்பள டா... நானும் டா... நா பொம்பள டா... நானும் தான் டா...,misogyny,misogyny,not-misogyny
935,*Teacher searching for stick to distribute answer sheet* *me and my Bois who throw it outside* SANDY MC TAMIL MEMEISM,not-misogyny,not-misogyny,not-misogyny
1340,*akka ~ adhana paathan ena da inum thambi ya kanum nu dress maathurupa vanthuruviiye,misogyny,misogyny,misogyny
456,Sylesh S Just now Ore stress ah iruku!! Engachum trip pona nala irukum nu bank balance ah patha adhu innu stress agudhu 🚶🏽 VERA LEVEL MEMES,not-misogyny,not-misogyny,not-misogyny
976,சூர்யன் Bro நம்பு Bro...நான் 149 மில்லியன் கிமீ க்கு அங்குட்டு தான் இருக்கேன்... நான் ஏய்....ஏய்...நடிக்காத நீ எங்க வீட்டு மாடில தான் இருக்க...,not-misogyny,not-misogyny,not-misogyny
1731,RAVI SARA'S இந்த லாக்டவுன்'ல இருந்து நீ ரொம்ப மாறிட்ட வீடியொ கால் பன்னா கட் பண்ணிவிடுற செத்துடலாம் போல இருக்கு ஐயோ மேக்கப்பபோடமா என் முகத்தை நீ பாத்தா நிஜமாவே செத்துருவடா,not-misogyny,misogyny,misogyny
1550,"திருமணம் மேடையில் மணமகனுக்கு கொடுக்கப்படும் கடைசி வார்னிங்... f/alwzsmle யாரோ பொண்ணு கூப்பிடுங்கோ, நல்ல நேரம் முடியப் போகுறது... 😂😂😂",not-misogyny,not-misogyny,not-misogyny
1685,Women's Day Vantha pothumea udane singappenneY nu status potruvengalea 😂 @NESAMANI_FUN_MEMES,not-misogyny,not-misogyny,not-misogyny
202,Maa shoulder laam romba valikkudhu konjam midhikiriya Mom - innum night full ah phone ah non..... Illa vendam. VERA LEVEL MEMES mt,not-misogyny,not-misogyny,not-misogyny
1056,mt my bro amma mom: en ponnu super ah samaippa .. avalukku theriyatha dish eh illa me Tamil Memes bro mind : antha pakki ku Maggi ya thavira vera eathum seiya theriyathe!,misogyny,misogyny,misogyny
106,Macha vaa da tour polaam - Pani Puri sapda kuda job venum ndra nelamaila irukken da VERA LEVEL MEMES TAMIL CINEMAS Google Play,not-misogyny,not-misogyny,not-misogyny
646,I know i am ugly but still used to adjust my hair and see myself in three different angle when i saw a mirror mt _vishal_sammy_,not-misogyny,not-misogyny,not-misogyny
726,L'étoile espiègle @mono_shalzp Me : No one can make me cry anymore. Onions : Ahnn... Ahnnn.... Kekkala....,not-misogyny,not-misogyny,not-misogyny
913,Kannamma 💙 PhotoGrid Cotton Candy *5yrs old me ~ mom TAMIL MEMES Google Play Enga pathiya colour appalam 😍 Bow Bow 💃,not-misogyny,not-misogyny,not-misogyny
363,BehindwoodsTV 2 minutes ago Video link: https://youtu.be/U8mmF7EPUJg Leo Hyena Fight Scene Making 💥 Thalapathy Full Body ஓட பணியில படுத்து சண்டை போட்டாச்சு Live Recreation “THALAPATHY துடிச்சு போயிட்டாரு” LEO HYENA DUPE INTERVIEW FIGHT SCENE LIVE RECREATION VERA LEVEL MEMES VERA LEVEL MEMES _dharshan._ mt TAMIL MEMES GET IT ON Google Play,not-misogyny,not-misogyny,not-misogyny
305,Muthu Kutti 2d *in por thozhil movie* Nee inga ivaluku paathukaapu kudu Anga avan un aal ah thookitan #muthumc VERA LEVEL MEMES,not-misogyny,not-misogyny,not-misogyny
1743,சின்ன வயசுல மிஸ்ஸூக்கு பயப்படுறதும்.. f/alwzsmle -யாரோ பெரிய வயசுல மிஸ்ஸூக்கு பயப்படுறதும் ஆண்களின் சாபம்... 😂😂😂😂,misogyny,misogyny,misogyny
1758,brother sister relationship expectation நீ சொன்னால் எதையும் செய்வேன் தலையாட்டும் பொம்மையாவேன்.. reality *sister கிளிப்பான் அவன் கிளிப்பான் டிவி ரிமோர்ட் கேட்டாலே தர மாட்டான்..,not-misogyny,not-misogyny,not-misogyny
1174,Me : பேசிட்டு இருக்கும் போது அம்மா வந்தாங்கனு கால் கட் பண்ணிட்டேனு உனக்கு எதுவும் கோவம் இல்லையே..! She : சே சே.. நான் ஏன் இப்போ கோவப்பட போறேன். இத அப்புறம் ஏதாவது சண்டைக்கு யூஸ் பண்ணலாம்னு Note பண்ணி வச்சிப்பேன்..!,misogyny,not-misogyny,not-misogyny
1135,"She: Let's breakup you da.. Good Bye He: Hey ennachu, Yean ipadi solra She: Sorry Chellam. Msg maathi anupitan",misogyny,misogyny,not-misogyny
